window_size,frequency_hz,snr_db,feature,n_records,pearson_mean,pearson_std,spearman_mean,spearman_std,mi_mean,mi_std,mean_retained_scale_count,pearson_rank,spearman_rank,mi_rank,pearson_top3,spearman_top3,mi_top3
7,100,-10,K,200,0.033077500476538894,0.024408313440124552,0.02662069139796096,0.02054360876876502,0.001850421275839409,0.00298524984680491,37.805,5.0,5.0,6.0,False,False,False
7,100,-10,M,200,0.6145381970989116,0.05016969705430684,0.21860443977571842,0.028087348823952307,0.06523814975878946,0.009674849158302468,37.805,2.0,2.0,2.0,True,True,True
7,100,-10,P,200,0.7016369502737847,0.03493306868867216,0.22263282981007582,0.025854308407500484,0.0696989308786411,0.008715873625716271,37.805,1.0,1.0,1.0,True,True,True
7,100,-10,S,200,0.032353942101823636,0.025320580129250175,0.027532726325674363,0.01981880745277545,0.0018972066682955745,0.003012475357817167,37.805,6.0,4.0,5.0,False,False,False
7,100,-10,SLTA,200,0.10318821133456627,0.008563169829617991,0.025244547370042496,0.01651174067996351,0.02175127950790101,0.008506001996624714,37.805,4.0,6.0,4.0,False,False,False
7,100,-10,Std,200,0.5876005973563175,0.05250835889990859,0.2081794697458012,0.027380276845064215,0.0618580294681472,0.011013591204484807,37.805,3.0,3.0,3.0,True,True,True
7,100,-8,K,200,0.03417842387783683,0.022983663159941697,0.025740909845901903,0.01819721740814928,0.0019580710206590014,0.0029023948834396344,42.155,5.0,5.0,5.0,False,False,False
7,100,-8,M,200,0.658714634613475,0.035284500824508284,0.2178203998229701,0.026252392173879004,0.06679254335272088,0.007493170961951524,42.155,2.0,2.0,2.0,True,True,True
7,100,-8,P,200,0.70223941108029,0.023043194729045608,0.2218396231084573,0.024043301001848615,0.07000227652536023,0.007001683683772124,42.155,1.0,1.0,1.0,True,True,True
7,100,-8,S,200,0.030556208205375916,0.023620368925467032,0.026289556741243083,0.019163339005609355,0.00185565537407258,0.003140770206490081,42.155,6.0,4.0,6.0,False,False,False
7,100,-8,SLTA,200,0.1060718902606554,0.007844048795126011,0.01649414997015073,0.011140205869866422,0.02657017132817704,0.007759278986710105,42.155,4.0,6.0,4.0,False,False,False
7,100,-8,Std,200,0.6344209390964578,0.037237486380346733,0.21056033471778712,0.024647116870127373,0.06578373206299416,0.00871551296087897,42.155,3.0,3.0,3.0,True,True,True
7,100,-6,K,200,0.03647936374999654,0.025451717925491547,0.02567085777737546,0.017170526991866202,0.001892564341319787,0.003043860818522575,46.125,5.0,5.0,5.0,False,False,False
7,100,-6,M,200,0.6924431588064133,0.027004258089109907,0.2182335825405631,0.025853172903411326,0.06823352337521199,0.007427230326120761,46.125,2.0,2.0,3.0,True,True,True
7,100,-6,P,200,0.6987429923241336,0.017266017579300512,0.22235861953214436,0.02308833687403459,0.07038254271453548,0.006474099314858895,46.125,1.0,1.0,1.0,True,True,True
7,100,-6,S,200,0.030599006292436934,0.022739670716809553,0.02587942960660685,0.01861667236846048,0.0018372021290994278,0.0029014052178567905,46.125,6.0,4.0,6.0,False,False,False
7,100,-6,SLTA,200,0.10866512738900769,0.007537086647851319,0.010955396597257177,0.007802465406392177,0.030336119995726017,0.006656875177262247,46.125,4.0,6.0,4.0,False,False,False
7,100,-6,Std,200,0.6715611445403254,0.02751862991481873,0.2143061399135168,0.023426556033284314,0.06946216793489486,0.0068772744087332045,46.125,3.0,3.0,2.0,True,True,True
